"PRODUCTID","PARENTSKU","VARIATIONSKU","VARIATIONID","featured_image","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured","downloadable_files","download_limit","download_expiry","price","sale_price_dates_from","sale_price_dates_to","regular_price","sale_price","purchase_note","default_attributes","custom_attributes","comment_status","tax_status","tax_class","weight","length","width","height","downloadable","virtual","stock","stock_status","low_stock_threshold","stock_qty","sold_individually","manage_stock","backorders","thumbnail_id","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_subscription_sign_up_fee","variation_description","variation_shipping_class"
"AUTO-DRAFT",,,"153",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"154",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"155",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"156",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"157",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"158",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"162",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"163",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"164",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"165",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"166",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"167",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
