"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","PRODUCTSKU","product_shipping_class","visibility","tax_status","product_type","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured_product","product_attribute_taxonomy","tax_class","file_paths","edit_last","edit_lock","thumbnail_id","manage_stock","stock","stock_status","low_stock_threshold","stock_qty","total_sales","downloadable","virtual","regular_price","sale_price","purchase_note","menu_order","comment_status","weight","length","width","height","upsell_ids","crosssell_ids","grouping_product","sale_price_dates_from","sale_price_dates_to","price","sold_individually","backorders","product_image_gallery","product_url","button_text","featured","downloadable_files","download_limit","download_expiry","download_type","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_subscription_sign_up_fee","product_category","product_tag","iconic-woo-bundled-products_options","site-content-layout","site-sidebar-layout","theme-transparent-header-meta","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","sitemap-include","sitemap-prio","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","cornerstone-content"
"MATZUO Snagging Weighted Treble Hooks 8/0 - AKRDY","42","We're selling the legendary Matzuo® Weighted Treble hooks. Ok, so maybe not legendary but these have been hot sellers on the market over the last couple years. First, for their great durability and second for cost. They are excellent for Seward and Prince William Sound where snagging is permitted. A true Alaskan experience since there's not many other fisheries that allow snagging fish like Alaska. Great durability in the hook and plenty of weight to keep the hook down in the water where the salmon are. Snag for Kings, Silver, or Reds. Happy Fishing and Bring it on Alaska!","Weighted Treble hooks ideal for Alaskan snagging. Go after King Salmon, Silver Salmon, or Red Salmon with these quality hooks.","2020-04-30 11:28:00","matzuo-snagging-weighted-treble-hooks-8-0-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/matzuo_snaghook_2.jpg","W304011-8/0","Lures Hooks","1",,"1",,,,,,,,,,,,"40","yes"," ","instock","5","50"," ","no","no","3.92","2.00",,"0","open","0.25","3","3","4",,,,,," ","no","no","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/matzuo_snaghook_3-150x150.jpg|https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/matzuo_snaghook_1-150x150.jpg",,"Buy AKRDY",,,"-1","-1",,,,,,,,,"Fishing","King Salmon,Prince William Sound,Red Salmon,Seward,Silver Salmon,Snagging Hooks",,"default","default","default","MATZUO Snagging Weighted Treble Hooks 8/0 - AKRDY",,,,,,,,,,,,,,,,,,,,
"MATZUO Snagging Weighted Treble Hooks 10/0 - AKRDY","43","We're selling the legendary Matzuo® Weighted Treble hooks. Ok, so maybe not legendary but these have been hot sellers on the market over the last couple years. First, for their great durability and second for cost. They are excellent for Seward and Prince William Sound where snagging is permitted. A true Alaskan experience since there's not many other fisheries that allow snagging fish like Alaska. Great durability in the hook and plenty of weight to keep the hook down in the water where the salmon are. Snag for Kings, Silver, or Reds. Happy Fishing and Bring it on Alaska!","Weighted Treble hooks ideal for Alaskan snagging. Go after King Salmon, Silver Salmon, or Red Salmon with these quality hooks.","2020-04-30 11:28:00","matzuo-snagging-weighted-treble-hooks-10-0-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/matzuo_snaghook_2.jpg","W304011-10/0","Lures Hooks","1",,"1",,,,,,,,,,,,"40","yes"," ","instock","5","49.000000","1","no","no","5","2.50",,"0","open","0.25","3","3","4",,,,,," ","no","no","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/matzuo_snaghook_3-150x150.jpg|https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/matzuo_snaghook_1-150x150.jpg",,"Buy AKRDY",,,"-1","-1",,,,,,,,,"Fishing","King Salmon,Prince William Sound,Red Salmon,Seward,Silver Salmon,Snagging Hooks",,"default","default","default","MATZUO Snagging Weighted Treble Hooks 10/0 - AKRDY",,,,,,,,,,,,,,,,,,,,
"UDAP - #12SO Safety Orange Bear Spray with Griz Guard Holster 7.9oz 225G - AKRDY","106","UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment. The Griz Guard allows you to attach to pants or clip on other items without the use of a belt. Handy if you need to attach the bear spray to a molle pack or backpack.

General Info (From Manufacturer):

Range up to 30 feet 7.9oz/225g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement","UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment.","2020-05-06 08:00:05","udap-12so-safety-orange-bear-spray-with-griz-guard-holster-7-9oz-225g-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/UDAP_12SO_safety_7-2.jpg",,,"1",,"3",,,,,,,,,,,,"101","no"," "," ",,," ","no","no","$44.99 "," ",,"0","open","7.9oz","2in","2in","8.5in",,,,,," ","no",,,"https://www.udap.com/mm5/product/12SO","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #12DCH Safety Orange Bear Spray with Griz Guard Holster (2 PACK) 7.9oz 225G - AKRDY","107","(2 PACK) UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment. The Griz Guard allows you to attach to pants or clip on other items without the use of a belt. Handy if you need to attach the bear spray to a molle pack or backpack.

General Info (From Manufacturer):

Range up to 30 feet 7.9oz/225g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement","(2 PACK) UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment.","2020-05-06 08:00:05","udap-12dch-safety-orange-bear-spray-with-griz-guard-holster-2-pack-7-9oz-225g-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/UDAP_12DCH_safety_twopack.jpg",,,"1",,"3",,,,,,,,,,,,"99","no"," "," ",,," ","no","no","$79.99 "," ",,"0","open","7.9oz","2in","2in","8.5in",,,,,," ","no",,,"https://www.udap.com/mm5/product/12DCH","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #12VHP Bear Spray with Hip Holster 7.9oz/225G - AKRDY","108","UDAP Safety Spray - Original - If you will. This product comes with a hip holster belt loop attachment. You must have a belt to attach this holster or another belt like object.

General Info (From Manufacturer):

Range up to 30 feet 7.9oz/225g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement","UDAP Safety Spray - Original - If you will. This product comes with a Belt Loop Attachment.","2020-05-06 08:00:05","udap-12vhp-bear-spray-with-hip-holster-7-9oz-225g-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/UDAP_12VHP_safety_hip.jpg",,,"1",,"3",,,,,,,,,,,,"103","no"," "," ",,," ","no","no","$44.99 "," ",,"0","open","7.9oz","2in","2in","8.5in",,,,,," ","no",,,"https://www.udap.com/mm5/product/12VHP","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #15SO Magnum Bear Spray With Griz Guard Holster 9.2oz/260g - AKRDY","109","UDAP Magnum Spray. This product comes with a Griz Guard Attachment. The Griz Guard allows you to attach to pants or clip on other items without the use of a belt. Handy if you need to attach the bear spray to a molle pack or backpack.

General Info (From Manufacturer):

Glow in the dark Safety Clip on 260g &amp; 380g
Range up to 30 feet 9.2oz/260g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement","UDAP Magnum Spray. This product comes with a Griz Guard Attachment.","2020-05-06 08:00:05","udap-15so-magnum-bear-spray-with-griz-guard-holster-9-2oz-260g-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/udap_15SO_magnum_grizguard.jpg",,,"1",,"3",,,,,,,,,,,,"95","no"," "," ",,," ","no","no","$49.99 "," ",,"0","open","9.2oz","2in","2in","9.3in",,,,,," ","no",,,"https://www.udap.com/mm5/product/15SO","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #15HP Magnum Bear Spray w/ Hip holster - AKRDY","110","UDAP Magnum Spray. This product comes with a Belt loop attachment. This product comes with a hip holster belt loop attachment. You must have a belt to attach this holster or another belt like object.

Physical Characteristics

Glow in the dark Safety Clip on 260g &amp; 380g
High-emission, fire-extinguisher style spray pattern
Liquefied propellant
2Q, outside curl, internally lined, seamless aluminum can
Highly visible fog
Large, rectangular nozzle
High volume Powerful Blast
Each can is batch coded and has an Expiration date of 3 years or longer.","UDAP Magnum Spray. This product comes with a Belt loop attachment.","2020-05-06 08:00:05","udap-15hp-magnum-bear-spray-w-hip-holster-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/udap_15hp_magnum_hip.jpg",,,"1",,"3",,,,,,,,,,,,"105","no"," "," ",,," ","no","no","$49.99 "," ",,"0","open","9.2oz","2in","2in","9.3in",,,,,," ","no",,,"https://www.udap.com/mm5/product/15HP","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #15CP Magnum Bear Spray w/ Chest Holster 9.2oz/260g - AKRDY","111","UDAP Magnum Spray. This product comes with a Chest Holster, see the sweet picture. Really nice for having spray at the ready and where your hands would be if using binoculars. If your binos are also chest, this would be annoying, or if you have a backpack on might want to stick to the belt loop or griz guard.

Physical Characteristics

Glow in the dark Safety Clip on 260g &amp; 380g
High-emission, fire-extinguisher style spray pattern
Liquefied propellant
2Q, outside curl, internally lined, seamless aluminum can
Highly visible fog
Large, rectangular nozzle
High volume Powerful Blast
Each can is batch coded and has an Expiration date of 3 years or longer.","UDAP Magnum Spray. This product comes with a Chest Holster, see the sweet picture.","2020-05-06 08:00:06","udap-15cp-magnum-bear-spray-w-chest-holster-9-2oz-260g-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/udap_15cp_magnum_chest.jpg",,,"1",,"3",,,,,,,,,,,,"104","no"," "," ",,," ","no","no","$54.99 "," ",,"0","open","9.2oz","2in","2in","9.3in",,,,,," ","no",,,"https://www.udap.com/mm5/product/15CP","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #18HP Super Magnum Bear Spray with Hip Holster - 380g 13.4oz - AKRDY","112","UDAP Super Magnum Spray. This product comes with a Hip Holster. Larger can with a longer throw. Sprays 35ft. You trade the extra weight for the extra distance, which is not a bad tradeoff.

(From The Manufacturer):
Continuous Spray Time: Approximately 7 Seconds (Note: Hits the bear harder! Super Magnum empties faster than the competitors smallest canister of bear spray.) Introducing the largest bear deterrent registered by the EPA

Largest Canister Available at 13.4oz or 380g
Furthest Spray Distance at 35 feet
Hottest Bear Spray Formula Available at 2.0% CRC
Highest Amount of Spray Volume

Unlike other brands that spray a slower forming narrow fog of bear pepper spray, UDAP Pepper Power® Bear Spray deploys a high volume powerful blast of highly concentrated pepper spray in a dense fog – covering a broader area in a much shorter period of time.","UDAP Super Magnum Spray. This product comes with a Hip Holster.","2020-05-06 08:00:06","udap-18hp-super-magnum-bear-spray-with-hip-holster-380g-13-4oz-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/udap_15hp_magnum_hip.jpg",,,"1",,"3",,,,,,,,,,,,"105","no"," "," ",,," ","no","no","$59.99 "," ",,"0","open","13.4oz","3in","3in","9.5in",,,,,," ","no",,,"https://www.udap.com/mm5/product/18HP","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting","||no||no|no|no","default","default","default",,,,,,,,,,,,,,,,,,,,,
"UDAP - #18CP Super Magnum Bear Spray with Chest Holster 13.4oz-380g - AKRDY","113","UDAP Super Magnum Spray. This product comes with a Chest Holster. Really nice for having spray at the ready and where your hands would be if using binoculars. If your binos are also chest, this would be annoying, or if you have a backpack on might want to stick to the belt loop or griz guard. Larger can with a longer throw. Sprays 35ft. You trade the extra weight for the extra distance, which is not a bad tradeoff.

(From The Manufacturer):
Continuous Spray Time: Approximately 7 Seconds (Note: Hits the bear harder! Super Magnum empties faster than the competitors smallest canister of bear spray.) Introducing the largest bear deterrent registered by the EPA

Largest Canister Available at 13.4oz or 380g
Furthest Spray Distance at 35 feet
Hottest Bear Spray Formula Available at 2.0% CRC
Highest Amount of Spray Volume

Unlike other brands that spray a slower forming narrow fog of bear pepper spray, UDAP Pepper Power® Bear Spray deploys a high volume powerful blast of highly concentrated pepper spray in a dense fog – covering a broader area in a much shorter period of time.","UDAP Super Magnum Spray. This product comes with a Chest Holster.","2020-05-06 08:00:06","udap-18cp-super-magnum-bear-spray-with-chest-holster-13-4oz-380g-akrdy","2to10","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/udap_supermagnum_chest.jpg",,,"1",,"3",,,,,,,,,,,,"117","no"," "," ",,," ","no","no","$64.99 "," ",,"0","open","13.4oz","3in","3in","9.5in",,,,,," ","no",,,"https://www.udap.com/mm5/product/18CP","Buy From UDAP",,,"-1","-1",,,,,,,,,"Preparedness","Black Bear,Brown Bear,Camping,Fishing,Grizzly Bear,Hiking,Hunting",,"default","default","default",,,,,,,,,,,,,,,,,,,,,
