PRODUCTID,PARENTSKU,VARIATIONSKU,VARIATIONID,featured_image,product_attribute_name,product_attribute_value,product_attribute_visible,product_attribute_variation,product_attribute_position,featured,downloadable_files,download_limit,download_expiry,price,sale_price_dates_from,sale_price_dates_to,regular_price,sale_price,purchase_note,default_attributes,custom_attributes,comment_status,tax_status,tax_class,weight,length,width,height,downloadable,virtual,stock,stock_status,low_stock_threshold,stock_qty,sold_individually,manage_stock,backorders,thumbnail_id,_subscription_period,_subscription_period_interval,_subscription_length,_subscription_trial_period,_subscription_trial_length,_subscription_price,_subscription_sign_up_fee,variation_description,variation_shipping_class
AUTO-DRAFT,,,153,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,154,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,155,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,156,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,157,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,158,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,162,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,163,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,164,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,165,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,166,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
AUTO-DRAFT,,,167,,,,,,,,,-1,-1,,,,,,,,|,closed,taxable,parent,,,,,no,no,,instock,,,no,no,no,,,,,,,,,,
"Columbia River Tackle - MatSu Spinners Size 5 Red, Blue, Black, Pink, Yellow, D-Fly - AKRDY",,MatSu Spinners Red,170,,,,,,,,,-1,-1,4.25,,,5.25,4.25,,,|,closed,taxable,parent,0.06,5.75,1,0.75,no,no,9,instock,,,no,yes,no,,,,,,,,,Columbia River Tackle MatSu Spinner Size 5 Color Red,Lures Hooks
"Columbia River Tackle - MatSu Spinners Size 5 Red, Blue, Black, Pink, Yellow, D-Fly - AKRDY",,MatSu Spinners Pink,171,,,,,,,,,-1,-1,4.25,,,5.25,4.25,,,|,closed,taxable,parent,0.06,5.75,1,0.75,no,no,9,instock,,,no,yes,no,,,,,,,,,Columbia River Tackle MatSu Spinner Size 5 Color Pink,Lures Hooks
"Columbia River Tackle - MatSu Spinners Size 5 Red, Blue, Black, Pink, Yellow, D-Fly - AKRDY",,MatSu Spinners Black,172,,,,,,,,,-1,-1,4.25,,,5.25,4.25,,,|,closed,taxable,parent,0.06,5.75,1,0.75,no,no,9,instock,,,no,yes,no,,,,,,,,,Columbia River Tackle MatSu Spinner Size 5 Color Black,Lures Hooks
"Columbia River Tackle - MatSu Spinners Size 5 Red, Blue, Black, Pink, Yellow, D-Fly - AKRDY",,MatSu Spinners Blue,173,,,,,,,,,-1,-1,4.25,,,5.25,4.25,,,|,closed,taxable,parent,0.06,5.75,1,0.75,no,no,9,instock,,,no,yes,no,,,,,,,,,Columbia River Tackle MatSu Spinner Size 5 Color Blue,Lures Hooks
