id,Title,Content,SKU,"Product Type","Parent Product ID",Color,Size,Species,"Product Attributes","Short Description",Date,"Post Type",Permalink,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (Color)","Attribute Value (Color)","Attribute In Variations (Color)","Attribute Is Visible (Color)","Attribute Is Taxonomy (Color)","Attribute Name (Size)","Attribute Value (Size)","Attribute In Variations (Size)","Attribute Is Visible (Size)","Attribute Is Taxonomy (Size)","Attribute Name (Species)","Attribute Value (Species)","Attribute In Variations (Species)","Attribute Is Visible (Species)","Attribute Is Taxonomy (Species)","Shipping Class","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text","Product visibility","Product categories","Product tags",stock,_subscription_payment_sync_date,price,site-content-layout,site-sidebar-layout,theme-transparent-header-meta,_yoast_wpseo_content_score,iconic-woo-bundled-products_options,_wpas_done_all,_visibility,_wp_old_slug,_wpas_skip_11791529,_file_paths,_low_stock_amount,_yoast_wpseo_title,_yoast_wpseo_primary_product_cat,upc,_upc,_jetpack_dont_email_post_to_subs,_jck_wssv_display_title,iconic_cffv_293_variation_upc,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating","Min Variation Price","Max Variation Price","Min Variation Regular Price","Max Variation Regular Price","Min Variation Sale Price","Max Variation Sale Price"
42,"Ship Your Idea","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,variable,1150,,,,,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","2013-06-07 10:59:15",product,https://akrdy.com/product/ship-your-idea-2/?attribute_pa_color=blue,30,35,30,instock,,,,Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2013/06/hoodie_1_front.jpg,hoodie_1_front.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/hoodie_1_front.jpg,1079,hoodie_1_front,,,,https://akrdy.com/wp-content/uploads/2013/06/hoodie_1_front.jpg,,,,,,,,,visible,Clothing>Hoodies,,,,,,,,,,1,,,,,,,,,,1,,,publish,1,admin,christopherjones2621@gmail.com,,,ship-your-idea-2,,,ship-your-idea-2,1,open,closed,"2013-06-07 10:59:15",no,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"MATZUO - Weighted Snagging Treble Hooks 10/0  8/0 - AKRDY","We're selling the legendary Matzuo® Weighted Treble hooks. Ok, so maybe not legendary but these have been hot sellers on the market over the last couple years. First, for their great durability and second for cost. They are excellent for Seward and Prince William Sound where snagging is permitted. A true Alaskan experience since there's not many other fisheries that allow snagging fish like Alaska. Great durability in the hook and plenty of weight to keep the hook down in the water where the salmon are. Snag for Kings, Silver, or Reds. Happy Fishing and Bring it on Alaska!",W304011-10/0,variable,0,,,,"a:1:{s:4:""size"";a:6:{s:4:""name"";s:4:""Size"";s:5:""value"";s:10:""10/0 | 8/0"";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""1"";s:11:""is_taxonomy"";s:1:""0"";}}","Weighted Treble hooks ideal for Alaskan snagging. Go after King Salmon, Silver Salmon, or Red Salmon with these quality hooks.","2020-04-30 15:28:00",product,https://akrdy.com/product/matzuo-snagging-weighted-treble-hooks-10-0-akrdy/,2.25,,,instock,38.000000,,22,Color,,no,no,no,Size,,yes,yes,no,Species,,no,no,no,"Lures Hooks",https://akrdy.com/wp-content/uploads/2020/04/matzuo_snaghook_2.jpg|https://akrdy.com/wp-content/uploads/2020/04/matzuo_snaghook_3.jpg|https://akrdy.com/wp-content/uploads/2020/04/matzuo_snaghook_1.jpg,matzuo_snaghook_2.jpg|matzuo_snaghook_3.jpg|matzuo_snaghook_1.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2020/04/matzuo_snaghook_2.jpg|/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2020/04/matzuo_snaghook_3.jpg|/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2020/04/matzuo_snaghook_1.jpg,40|41|39,matzuo_snaghook_2|matzuo_snaghook_3|matzuo_snaghook_1,||,||,"Weighted Treble Hooks||",https://akrdy.com/wp-content/uploads/2020/04/matzuo_snaghook_2.jpg,,,,,,,,,visible,"Fishing>Snagging Hooks","King Salmon|Prince William Sound|Red Salmon|Seward|Silver Salmon|Snagging Hooks"," ","s:36:""a:2:{s:3:""day"";i:0;s:5:""month"";i:0;}"";"," ",default,default,default,90,"a:7:{s:13:""price_display"";s:0:"""";s:12:""bundle_price"";s:0:"""";s:15:""add_all_to_cart"";s:2:""no"";s:14:""fixed_discount"";s:0:"""";s:16:""hide_add_to_cart"";s:2:""no"";s:8:""hide_qty"";s:2:""no"";s:11:""hide_prices"";s:2:""no"";}",,,,,,5,"MATZUO Snagging Weighted Treble Hooks 10/0 - AKRDY",16,,field_5ece0df0e3509,,,,publish,2,2to10,2to10@akrdy.com,Christopher,Jones,matzuo-snagging-weighted-treble-hooks-10-0-akrdy,,,0,0,open,closed,"2020-06-14 03:03:58",no,no,,no,0.25,3,3,4,,,no,yes,,,,,-1,-1,,"Buy AKRDY",no,,,"41,39",,4.2.0,,,0,0,,,,,,
47,"Woo Ninja","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,simple,0,,,,a:0:{},"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","2013-06-07 11:02:31",product,https://akrdy.com/product/woo-ninja-2/,35,35,,instock,,,0,Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2013/06/hoodie_2_front.jpg|https://akrdy.com/wp-content/uploads/2019/05/counter.jpg,hoodie_2_front.jpg|counter.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/hoodie_2_front.jpg|/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2019/05/counter.jpg,1072|49,hoodie_2_front|counter,"|						","|						",|,https://akrdy.com/wp-content/uploads/2013/06/hoodie_2_front.jpg,,,,,,,,,visible,Clothing>Hoodies,,,,,,,,,,1,visible,,,,,,,,,,,,publish,1,admin,christopherjones2621@gmail.com,,,woo-ninja-2,,,0,0,open,closed,"2013-06-07 11:02:31",no,no,,no,,,,,,,,no,,,,,,,,,no,,,49,,,,a:0:{},0,0,,,,,,
53,"Happy Ninja","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,simple,0,,,,a:0:{},"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","2013-06-07 11:05:37",product,https://akrdy.com/product/happy-ninja-2/,35,35,,instock,,,0,Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2013/06/hoodie_4_front.jpg|https://akrdy.com/wp-content/uploads/2013/06/hoodie_4_back.jpg,hoodie_4_front.jpg|hoodie_4_back.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/hoodie_4_front.jpg|/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/hoodie_4_back.jpg,54|55,hoodie_4_front|hoodie_4_back,|,|,|,https://akrdy.com/wp-content/uploads/2013/06/hoodie_4_front.jpg,,,,,,,,,visible,Clothing>Hoodies,,,,,,,,,,1,visible,,,,,,,,,,,,publish,1,admin,christopherjones2621@gmail.com,,,happy-ninja-2,,,0,0,open,closed,"2013-06-07 11:05:37",no,no,,no,,,,,,,,no,,,,,,,,,no,,,55,,,,a:0:{},0,0,,,,,,
76,"Woo Ninja","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,simple,0,,,,a:0:{},"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","2013-06-07 11:28:45",product,https://akrdy.com/product/woo-ninja-3/,15,15,,instock,,,0,Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2013/06/poster_4_up.jpg|https://akrdy.com/wp-content/uploads/2014/03/cycle.png,poster_4_up.jpg|cycle.png,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/poster_4_up.jpg|/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2014/03/cycle.png,1088|78,poster_4_up|cycle,|,|,|,https://akrdy.com/wp-content/uploads/2013/06/poster_4_up.jpg,,,,,,,,,visible,Posters,,,,,,,,,,1,visible,,,,,,,,,,,,publish,1,admin,christopherjones2621@gmail.com,,,woo-ninja-3,,,0,0,open,closed,"2013-06-07 11:28:45",no,no,,no,,,,,,,,no,,|,,,,,,,no,,,78,,,,a:0:{},0,0,,,,,,
79,"Woo Logo","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,simple,0,,,,a:0:{},"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","2013-06-07 11:29:44",product,https://akrdy.com/product/woo-logo-3/,15,15,,instock,,,0,Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2013/06/poster_5_up.jpg|https://akrdy.com/wp-content/uploads/2014/03/laptop.png,poster_5_up.jpg|laptop.png,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/poster_5_up.jpg|/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2014/03/laptop.png,1090|81,poster_5_up|laptop,|,|,|,https://akrdy.com/wp-content/uploads/2013/06/poster_5_up.jpg,,,,,,,,,visible,Posters,,,,,,,,,,1,visible,,,,,,,,,,,,publish,1,admin,christopherjones2621@gmail.com,,,woo-logo-3,,,0,0,open,closed,"2013-06-07 11:29:44",no,no,,no,,,,,,,,no,,|,,,,,,,no,,,81,,,,a:0:{},0,0,,,,,,
93,"Woo Single #1","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,simple,0,,,,a:0:{},"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","2013-06-07 11:36:34",product,https://akrdy.com/product/woo-single-1/,3,3,,instock,,,0,Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2013/06/cd_4_angle.jpg|,cd_4_angle.jpg|,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2013/06/cd_4_angle.jpg|,1093|94,"cd_4_angle|Left Sidebar",|,"|<blockquote>This page has its layout set to <strong>Left Sidebar</strong>. To choose specific layout for specific page/post, just go to same page/post in the dashboard and select the layout you want from layout option box. </blockquote>
Donut caramels lemon drops soufflé pastry. Bonbon toffee pie applicake sesame snaps. Danish pie danish topping oat cake halvah wafer. Toffee gummi bears dessert cupcake. Candy jelly beans caramels chocolate bar tart liquorice sugar plum. Topping cake sesame snaps.

Candy wafer dragée brownie pudding toffee gingerbread chocolate bar. Unerdwear.com jelly-o apple pie gummi bears macaroon pastry apple pie. Jelly-o icing pie. Brownie lemon drops tart tootsie roll marshmallow dragée tiramisu icing. Tiramisu gummies chupa chups lollipop pudding. Candy sugar plum liquorice. Pudding soufflé jelly. Marshmallow dessert jelly-o pie marzipan bonbon. Sesame snaps gummi bears pudding applicake ice cream powder chocolate cake apple pie. Unerdwear.com bear claw lollipop.

Cotton candy apple pie candy lollipop cookie sweet pudding. Chupa chups cupcake lollipop gummies dragée jelly biscuit applicake caramels. Brownie muffin unerdwear.com jelly powder chupa chups tart donut cheesecake. Soufflé dessert caramels chupa chups cookie carrot cake. Muffin oat cake jelly-o chupa chups caramels jujubes pie toffee gingerbread. Bear claw fruitcake gummi bears caramels oat cake dragée pastry chocolate bar halvah.

",|,https://akrdy.com/wp-content/uploads/2013/06/cd_4_angle.jpg,,,,,,,,,visible,Music>Singles,,,,,,,,,,1,visible,,,a:0:{},,,,,,,,,publish,1,admin,christopherjones2621@gmail.com,,,woo-single-1,,,0,0,open,closed,"2013-06-07 11:36:34",yes,no,,no,,,,,,,,no,,,,,,,,,no,,,94,,,,a:0:{},0,0,,,,,,
106,"UDAP - #12SO Safety Orange Bear Spray with Griz Guard Holster 7.9oz 225G - AKRDY","UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment. The Griz Guard allows you to attach to pants or clip on other items without the use of a belt. Handy if you need to attach the bear spray to a molle pack or backpack.

General Info (From Manufacturer):

Range up to 30 feet 7.9oz/225g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement",,external,0,,,,,"UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment.","2020-05-06 12:00:05",product,https://akrdy.com/?post_type=product&p=106,"$44.99 ","$44.99 "," "," ",,https://www.udap.com/mm5/product/12SO," ",Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2020/05/UDAP_12SO_safety_7-2.jpg,UDAP_12SO_safety_7-2.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2020/05/UDAP_12SO_safety_7-2.jpg,101,"UDAP_12SO_safety_7 (2)",,,,https://akrdy.com/wp-content/uploads/2020/05/UDAP_12SO_safety_7-2.jpg,,,,,,,,,visible,Preparedness,"Black Bear|Brown Bear|Camping|Fishing|Grizzly Bear|Hiking|Hunting"," | ","s:36:""a:2:{s:3:""day"";i:0;s:5:""month"";i:0;}"";"," | ",default,default,default,60,,,,,,,,,,,,,,,draft,2,2to10,2to10@akrdy.com,Christopher,Jones,udap-12so-safety-orange-bear-spray-with-griz-guard-holster-7-9oz-225g-akrdy,,,0,0,open,closed,"2020-05-18 05:30:39",no,no,,no,7.9oz,2in,2in,8.5in,,,no,no,,,,,-1,-1,,"Buy From UDAP",,,,,,4.1.0,,,0,0,,,,,,
107,"UDAP - #12DCH Safety Orange Bear Spray with Griz Guard Holster (2 PACK) 7.9oz 225G - AKRDY","(2 PACK) UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment. The Griz Guard allows you to attach to pants or clip on other items without the use of a belt. Handy if you need to attach the bear spray to a molle pack or backpack.

General Info (From Manufacturer):

Range up to 30 feet 7.9oz/225g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement",,external,0,,,,,"(2 PACK) UDAP Safety Spray - Original - If you will. This product comes with a Griz Guard Attachment.","2020-05-06 12:00:05",product,https://akrdy.com/?post_type=product&p=107,"$79.99 ","$79.99 "," "," ",,https://www.udap.com/mm5/product/12DCH," ",Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2020/05/UDAP_12DCH_safety_twopack.jpg,UDAP_12DCH_safety_twopack.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2020/05/UDAP_12DCH_safety_twopack.jpg,99,UDAP_12DCH_safety_twopack,,,,https://akrdy.com/wp-content/uploads/2020/05/UDAP_12DCH_safety_twopack.jpg,,,,,,,,,visible,Preparedness,"Black Bear|Brown Bear|Camping|Fishing|Grizzly Bear|Hiking|Hunting"," | ","s:36:""a:2:{s:3:""day"";i:0;s:5:""month"";i:0;}"";"," | ",default,default,default,60,,,,,,,,,,,,,,,draft,2,2to10,2to10@akrdy.com,Christopher,Jones,udap-12dch-safety-orange-bear-spray-with-griz-guard-holster-2-pack-7-9oz-225g-akrdy,,,0,0,open,closed,"2020-05-18 05:30:39",no,no,,no,7.9oz,2in,2in,8.5in,,,no,no,,,,,-1,-1,,"Buy From UDAP",,,,,,4.1.0,,,0,0,,,,,,
108,"UDAP - #12VHP Bear Spray with Hip Holster 7.9oz/225G - AKRDY","UDAP Safety Spray - Original - If you will. This product comes with a hip holster belt loop attachment. You must have a belt to attach this holster or another belt like object.

General Info (From Manufacturer):

Range up to 30 feet 7.9oz/225g
(OC) Oleoresin Capsicum - Hot Red Pepper
Powerful dispersion, Shotgun Blast pattern
Manufactured to ISO standards! The highest quality of standards
Works on all bear species
Non-flammable
Zero ozone depletion potential
EPA Registered
Oil-based for Lasting Airborne Disbursement",,external,0,,,,,"UDAP Safety Spray - Original - If you will. This product comes with a Belt Loop Attachment.","2020-05-06 12:00:05",product,https://akrdy.com/?post_type=product&p=108,"$44.99 ","$44.99 "," "," ",,https://www.udap.com/mm5/product/12VHP," ",Color,,no,no,no,Size,,no,no,no,Species,,no,no,no,,https://akrdy.com/wp-content/uploads/2020/05/UDAP_12VHP_safety_hip.jpg,UDAP_12VHP_safety_hip.jpg,/chroot/home/a100bb6c/akrdy.com/html/wp-content/uploads/2020/05/UDAP_12VHP_safety_hip.jpg,103,UDAP_12VHP_safety_hip,,,,https://akrdy.com/wp-content/uploads/2020/05/UDAP_12VHP_safety_hip.jpg,,,,,,,,,visible,Preparedness,"Black Bear|Brown Bear|Camping|Fishing|Grizzly Bear|Hiking|Hunting"," | ","s:36:""a:2:{s:3:""day"";i:0;s:5:""month"";i:0;}"";"," | ",default,default,default,60,,,,,,,,,,,,,,,draft,2,2to10,2to10@akrdy.com,Christopher,Jones,udap-12vhp-bear-spray-with-hip-holster-7-9oz-225g-akrdy,,,0,0,open,closed,"2020-05-18 05:30:38",no,no,,no,7.9oz,2in,2in,8.5in,,,no,no,,,,,-1,-1,,"Buy From UDAP",,,,,,4.1.0,,,0,0,,,,,,
